created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Mar 28 14:18:05 +0000 2024;1,77E+18;Sidang perdana sengketa hasil Pilpres 2024 di MK atau Mahkamah Konstitusi berlangsung, Rabu (27/3/2024). Berikut rangkuman isinya. https://t.co/B84IS7rfTu;0;0;0;0;in;23343960;1,77E+18;kompascom;https://twitter.com/kompascom/status/1773353872641139098
Thu Mar 28 14:17:37 +0000 2024;1,77E+18;@felixbolanosg Vuestra memoria felisuco estáis destrozando los pilares d nuestra carta magna y vas a venir tú con lloriqueos absurdos jaja eres un meme, lo curioso es que lo sabes;0;0;0;0;es;447400967;1,77E+18;Julito_vg;https://twitter.com/Julito_vg/status/1773353757310345643
Thu Mar 28 14:17:35 +0000 2024;1,77E+18;Isi Gugatan di Sengketa Pilpres 2024, Ganjar Mahfud Anggap Perolehan Suara Prabowo Gibran 0 di Setiap Daerah  https://t.co/dJmY0rjmK4;0;0;0;0;in;1,68E+18;1,77E+18;hariini2024;https://twitter.com/hariini2024/status/1773353749764792694
Thu Mar 28 14:16:47 +0000 2024;1,77E+18;@PUTRY_NUSANTARA @AyamSegar3 Mereka itu hanyalah tim hore, masih ingatkah mereka saat Bowo kalah pilpres 2014 dan berusaha mengembosi pemerintah pusat dengan menguasai pemerintahan daerah. Mrk lupa siapa itu Prabowo hanya karena ngefans Jokowi yg tidak ta;0;0;0;0;in;1,66E+18;1,77E+18;kleponijo99;https://twitter.com/kleponijo99/status/1773353546928275913
Thu Mar 28 14:16:25 +0000 2024;1,77E+18;@blue_berets7 Wkwkwk bujer 02... mau coba alihin isu pilpres udah selesai 😂😂😂😂;0;0;0;0;in;495108958;1,77E+18;ZenRp1000;https://twitter.com/ZenRp1000/status/1773353454628458909
Thu Mar 28 14:15:36 +0000 2024;1,77E+18;Pilares a contracorriente  https://t.co/jMCh3qi4hY;0;0;0;0;es;61005113;1,77E+18;lanuevaweb;https://twitter.com/lanuevaweb/status/1773353248264495514
Thu Mar 28 14:14:48 +0000 2024;1,77E+18;Minha avó começou a fazer Pilates mas colocou na cabeça que o no é PILARES ela tava contando e eu sem entender nada até que associei oq era;0;0;0;0;pt;8,28E+17;1,77E+18;Lubruins;https://twitter.com/Lubruins/status/1773353048716263499
Thu Mar 28 14:14:19 +0000 2024;1,77E+18;@tvOneNews bansos nya gede banget pak menjelang pilpres;0;0;0;0;in;1,34E+18;1,77E+18;Detw13;https://twitter.com/Detw13/status/1773352925491834996
Thu Mar 28 14:13:50 +0000 2024;1,77E+18;@IdiazAyuso Qué bueno, representa perfectamente a España, mal construida, sin escolleras que protejan a sus principales pilares que son sus gentes.;0;0;0;0;es;1,22E+18;1,77E+18;Intercatia3;https://twitter.com/Intercatia3/status/1773352805937406133
Thu Mar 28 14:13:40 +0000 2024;1,77E+18;@democrazymedia Cara kerja Timses Prabowo Gibran Miftah bagi-bagi uang politik sedekah ?  Sedekah kok hanya di musim pemilu pilpres aja  om???  😉💸💵💴💶💰💳🤑🤑 https://t.co/ppKywbmVCu;0;0;0;0;in;8,41E+17;1,77E+18;opinirakyat2024;https://twitter.com/opinirakyat2024/status/1773352763335848394
Thu Mar 28 14:13:32 +0000 2024;1,77E+18;@ArgenisBravoBr1 @Gbastidas No le apena ser tan estúpido?;0;0;0;0;es;8,31E+17;1,77E+18;akdralpilares;https://twitter.com/akdralpilares/status/1773352730062356713
Thu Mar 28 14:13:14 +0000 2024;1,77E+18;@CNNIndonesia Bener² sidang dagelan😅.  Sehsrusnya kl di MK itu bertarung soal perselisihan hasil pilpres.  Ini malah lebih condong ke proses pilpres.  Aku yakin 100% MK tidak akan mengabulkan permohonan 01/03.  Malah kentara sekali upaya menaikkan nil;0;0;0;0;in;8,82E+17;1,77E+18;Tjel0up;https://twitter.com/Tjel0up/status/1773352652560367929
Thu Mar 28 14:12:10 +0000 2024;1,77E+18;Cak Imin Masuk Bursa Cagub Pilkada Jawa Timur 2024, Dewan Syura PKB: Fokus Sengketa Pilpres 2024: Muhaimin Iskandar alias Cak Imin masuk bursa cagub di Pilkada Jawa Timur 2024. Dewan Syura PKB langsung menyatakan mereka fokus sengketa Pilpres 2024. https://t.co/yre9ssO7Rm;0;0;0;0;in;1536217758;1,77E+18;KaltimBerita;https://twitter.com/KaltimBerita/status/1773352383713882619
Thu Mar 28 14:11:43 +0000 2024;1,77E+18;danquot Hanya Ngoceh Sana-sinidanquot , Hotman Paris Tanggapi Gugatan Pilpres yang Disampaikan Anies Baswedan   https://t.co/ZS5jt8B5qX via @tribunnews   Hotman Lo lawan;0;0;0;0;in;1,72E+18;1,77E+18;jetri_garsia;https://twitter.com/jetri_garsia/status/1773352272858132548
Thu Mar 28 14:10:55 +0000 2024;1,77E+18;"@sabryfre1 @nnachop_ @LulixTini Jaja qué es una familia si no un parásito que nunca solicitaste. Realmente crees que todos tienen pilares""? Tenés doce años nenita?""";0;0;0;0;es;1,68E+18;1,77E+18;moco_chanel;https://twitter.com/moco_chanel/status/1773352070348681721
Thu Mar 28 14:10:39 +0000 2024;1,77E+18;@rustamaji Wah ternyata duid 5M bisa berpotensi melecehkan akidah/agama jg..... Bkn sekadar pilpres.... Parah neh....;0;0;0;0;in;1,70E+18;1,77E+18;Gunung_Agoeng;https://twitter.com/Gunung_Agoeng/status/1773352002359025881
Thu Mar 28 14:10:06 +0000 2024;1,77E+18;iya dong, berdasarkan pembagian tugas ybs kan hanya sebagai petugas bansos di jateng dan depan istana negara. sengketa pilpres harus ditangani oleh capresnya dung. https://t.co/Z9WSAjzp8B;0;0;0;0;in;43615862;1,77E+18;Pinondang_dav;https://twitter.com/Pinondang_dav/status/1773351863317930184
Thu Mar 28 14:09:51 +0000 2024;1,77E+18;@Danilo_mma @AndradeRNegro2 @deolhonoagro É fundamentada nos 4 EVANGÉLICOS  A Igreja Quadrangular é uma denominação cristã evangélica pentecostal. O seu nome deriva do conceito de que a igreja é composta por quatro pilares fundamentais: salvaçã;0;0;0;0;pt;1,28E+18;1,77E+18;SandraThomaz10;https://twitter.com/SandraThomaz10/status/1773351801959391435
Thu Mar 28 14:09:27 +0000 2024;1,77E+18;KPU Yakin Pencalonan Gibran Tak Dipersoalkan Andai Anies Menang Pilpres https://t.co/Wj9lE3ZSRL   01 dan 03 Krn kalah semuanya didalilkan. Siap menang siap kalah donk.#brengsek;0;0;0;0;in;1,72E+18;1,77E+18;jetri_garsia;https://twitter.com/jetri_garsia/status/1773351702286008793
Thu Mar 28 14:09:06 +0000 2024;1,77E+18;@Bakhjatul @AbdulRachimmks Ini org yg sama ya dgn ketua tim pembela pihak terkait di sengketa pilpres di MK?;0;0;0;0;in;1,71E+18;1,77E+18;KopiHitamLah;https://twitter.com/KopiHitamLah/status/1773351612938920024
Thu Mar 28 14:08:58 +0000 2024;1,77E+18;Aksi Demo Warnai Sidang Sengketa Hasil Pilpres 2024 di MK, Massa Tuntut Hakim Konstitusi Imparsial https://t.co/LwuDshNOb7;0;0;0;1;in;8,88E+17;1,77E+18;OposisiCerdas;https://twitter.com/OposisiCerdas/status/1773351580458221735
Thu Mar 28 14:08:35 +0000 2024;1,77E+18;Capek kali ngikutin pilpres;0;0;0;0;in;2189726725;1,77E+18;giyiiii;https://twitter.com/giyiiii/status/1773351481040609749
Thu Mar 28 14:08:27 +0000 2024;1,77E+18;@UHN_Plus Y quien manejaba? Quien manejaba el derribo controlado del puente 🤣🤣🤣 por qué mira que calló bien parejo para que solo fuera un choque, y lo otro esos pilares son echo para aguantar impactos;0;0;0;0;es;1,70E+18;1,77E+18;punkidelpostal;https://twitter.com/punkidelpostal/status/1773351448224366698
Thu Mar 28 14:08:00 +0000 2024;1,77E+18;@artadana_sujiwa @fuadhasan153201 @tijabar Bansos pilpres pakai uang negara bos, kamu paham apa tdk sih;0;0;0;0;in;1,60E+18;1,77E+18;Jabreak_Yudha01;https://twitter.com/Jabreak_Yudha01/status/1773351337024946608
Thu Mar 28 14:07:58 +0000 2024;1,77E+18;@bysunshinee_ Ellos insisten en eso para tratar de proyectarse como los pilares de la moralidad y engañar al público, cuando ellos se han comportado igual.;0;0;0;0;es;1,29E+18;1,77E+18;JusticieroPato;https://twitter.com/JusticieroPato/status/1773351329362055365
Thu Mar 28 14:07:18 +0000 2024;1,77E+18;¿Qué publico en Instagram? ✅Define tu objetivo ✅Quién es tu cliente potencial ✅Define tus pilares y las categorías de contenidos ✅Planifica el contenido ✅Ideas de contenidos ✅Crea los contenidos ✅...  https://t.co/kbeEYmxX05  #Instagram https://t.co/JnGP5dPlba;0;0;0;0;es;1196586247;1,77E+18;JessicaQueroM;https://twitter.com/JessicaQueroM/status/1773351159329071432
Thu Mar 28 14:06:16 +0000 2024;1,77E+18;Con un análisis de un nuevo video te muestro mi hipótesis acerca de lo ocurrido con el buque que se termina estrellando contra uno de los dos pilares que sostenían en pie al puente de Baltimore.;0;1;0;0;es;1,44E+18;1,77E+18;ArqBibliosur;https://twitter.com/ArqBibliosur/status/1773350899231904163
Thu Mar 28 14:05:57 +0000 2024;1,77E+18;@moco_chanel @nnachop_ @LulixTini Dale capo, hacé algo cuando tus pilares, osea tu propia familia te usa de cajero y no tenes a NADIE que se interese en vos y no en tu plata...;0;1;0;0;es;1,68E+18;1,77E+18;sabryfre1;https://twitter.com/sabryfre1/status/1773350818663514477
Thu Mar 28 14:05:56 +0000 2024;1,77E+18;NGAKAK! RH JELASKAN SENGKETA PILPRES DI DEPAN KARNI ILYAS, 02 CUMA BISA ... https://t.co/0vhJPpDX5M via @YouTube;0;0;0;0;in;1,53E+18;1,77E+18;NNgambang;https://twitter.com/NNgambang/status/1773350816348283148
Thu Mar 28 14:05:39 +0000 2024;1,77E+18;@tempodotco Yang dana bansos dari kementrian mana yang diambil oleh jokowi untuk dibagi bagikan kepada masyarakat sebelum pencoblosan suara pemilu khususnya pilpres?;0;0;0;1;in;1,76E+18;1,77E+18;TonyParker19679;https://twitter.com/TonyParker19679/status/1773350746156581027
Thu Mar 28 14:03:34 +0000 2024;1,77E+18;Kecurangan pemilu pilpres yg paling brutal,* https://t.co/vFqIE3j0Ep;0;0;0;0;in;1,41E+18;1,77E+18;JelitaAja4;https://twitter.com/JelitaAja4/status/1773350221063364728
Thu Mar 28 14:03:34 +0000 2024;1,77E+18;@Celoteh_netizen Contoh SDM rendah sampe skarang masih di bahas kapan Indonesia mau maju kalo masih di pembahasan pilpres, sidang pun di lakukan capres vs advokat, mana yang katanya 1000 pengacara siap gugat angket di mk?;0;0;0;0;in;1,75E+18;1,77E+18;SShinazuga63090;https://twitter.com/SShinazuga63090/status/1773350220094386300
